Date,Plant_ID,Product_Line,Production_Quantity,Defective_Units,Downtime_Hours,Machine_Utilization_%,Energy_Cost,Labor_Cost,Maintenance_Cost,Total_Production_Cost,Sales_Quantity,Revenue,Order_Fulfillment_%,Region
2024-01-01,Gurgaon_03,Axle_Component,1660,19,3.1,85.0,57118,71265,23850,152233,1627,1269060,88.2,Asia
2024-01-02,Bengaluru_04,Axle_Component,1213,42,0.5,94.8,52568,85939,13396,151903,1155,1002540,94.7,Asia
2024-01-03,Bengaluru_04,Axle_Component,1499,20,1.3,72.3,38005,86042,8899,132946,1435,1281455,94.5,Europe
2024-01-04,Pune_01,Gear_Assembly,1446,25,2.1,70.3,43792,75555,17253,136600,1428,1055292,89.1,Europe
2024-01-05,Bengaluru_04,Gear_Assembly,1227,12,0.6,92.7,36585,68943,8021,113549,1212,852036,94.0,Asia
2024-01-06,Pune_01,Gear_Assembly,1201,30,2.1,79.9,35995,94487,18534,149016,1130,778570,97.3,India
2024-01-07,Chennai_02,Gear_Assembly,852,28,1.7,77.0,43571,90068,14208,147847,814,540496,89.8,India
2024-01-08,Gurgaon_03,EV_Differential,1143,5,1.2,70.1,40258,87002,13736,140996,1126,914312,96.7,Europe
2024-01-09,Pune_01,Motor_Shaft,1030,45,3.7,91.3,48067,80265,9454,137786,959,829535,95.3,Asia
2024-01-10,Gurgaon_03,Gear_Assembly,1760,39,0.9,87.8,55224,82412,7502,145138,1737,1306224,88.4,Europe
2024-01-11,Gurgaon_03,Motor_Shaft,1353,17,1.2,92.4,58792,73755,19383,151930,1340,1167140,89.5,Europe
2024-01-12,Pune_01,Gear_Assembly,970,33,1.3,71.9,44914,92890,17817,155621,919,637786,91.3,India
2024-01-13,Chennai_02,Axle_Component,827,48,1.2,92.3,56834,83047,17230,157111,756,660744,91.0,Europe
2024-01-14,Chennai_02,EV_Differential,1427,17,3.5,70.2,56959,70530,10748,138237,1367,1207061,91.7,Europe
2024-01-15,Gurgaon_03,Motor_Shaft,1471,36,2.5,80.1,53237,78808,13585,145630,1410,932010,90.8,Asia
2024-01-16,Gurgaon_03,EV_Differential,1412,53,4.0,76.7,39737,79555,20877,140169,1402,1115992,95.5,India
2024-01-17,Bengaluru_04,Motor_Shaft,1471,10,1.3,86.8,35202,76447,19688,131337,1424,958352,93.2,Asia
2024-01-18,Chennai_02,Motor_Shaft,1706,52,3.3,73.8,55666,76589,22708,154963,1694,1350118,91.6,Europe
2024-01-19,Chennai_02,Gear_Assembly,1310,23,1.7,72.4,43680,84360,12759,140799,1262,922522,97.2,Europe
2024-01-20,Bengaluru_04,EV_Differential,1272,54,3.7,91.9,51646,79075,16208,146929,1203,916686,90.7,Asia
2024-01-21,Bengaluru_04,EV_Differential,836,36,2.7,78.5,54554,74874,22151,151579,824,656728,97.8,India
2024-01-22,Bengaluru_04,Axle_Component,1386,53,1.1,92.5,59829,80586,9557,149972,1352,1003184,91.1,Asia
2024-01-23,Chennai_02,Motor_Shaft,1621,39,2.8,75.6,59736,70699,10987,141422,1604,1257536,95.9,India
2024-01-24,Bengaluru_04,Axle_Component,1754,55,2.7,76.3,53077,79373,21565,154015,1694,1407714,98.0,Europe
2024-01-25,Chennai_02,EV_Differential,1597,37,2.5,82.3,42996,74007,19946,136949,1584,1083456,96.5,India
2024-01-26,Bengaluru_04,Axle_Component,957,33,1.5,92.1,36060,83711,10420,130191,902,748660,94.3,India
2024-01-27,Bengaluru_04,Gear_Assembly,1052,25,1.2,76.7,54778,89703,8816,153297,989,699223,98.2,Asia
2024-01-28,Bengaluru_04,Motor_Shaft,1087,51,4.0,73.5,51538,75729,8409,135676,1061,798933,95.7,Europe
2024-01-29,Chennai_02,Axle_Component,838,33,1.5,80.5,53225,94592,17647,165464,816,578544,93.6,India
2024-01-30,Bengaluru_04,EV_Differential,819,5,0.7,79.9,45893,90547,20403,156843,744,506664,94.4,Asia
2024-01-31,Gurgaon_03,EV_Differential,1497,26,2.6,70.8,44907,69777,22338,137022,1428,1071000,93.7,India
2024-02-01,Bengaluru_04,Axle_Component,1419,9,2.1,91.1,58411,69142,22202,149755,1355,1107035,96.0,India
2024-02-02,Chennai_02,Axle_Component,905,34,0.6,80.0,49098,93251,12177,154526,841,621499,88.3,India
2024-02-03,Chennai_02,Gear_Assembly,926,13,2.9,71.5,51896,92425,20407,164728,869,641322,95.3,India
2024-02-04,Pune_01,Axle_Component,988,43,2.8,80.9,58388,91870,15130,165388,953,755729,89.7,Asia
2024-02-05,Pune_01,EV_Differential,1773,32,0.7,71.0,48245,92635,18151,159031,1716,1259544,93.2,India
2024-02-06,Chennai_02,Motor_Shaft,1156,27,0.7,93.7,37849,92827,14390,145066,1137,1022163,98.3,India
2024-02-07,Bengaluru_04,EV_Differential,1315,20,0.7,86.1,51347,90471,7851,149669,1282,1011498,92.3,India
2024-02-08,Pune_01,EV_Differential,1490,47,3.8,79.7,40536,78479,10913,129928,1438,996534,91.0,Europe
2024-02-09,Chennai_02,Motor_Shaft,1052,55,2.7,78.4,58132,81281,22305,161718,1009,770876,91.1,Asia
2024-02-10,Pune_01,Motor_Shaft,1292,15,3.6,88.4,58548,92384,18657,169589,1259,1058819,94.3,Europe
2024-02-11,Bengaluru_04,Axle_Component,1777,53,3.2,78.5,42357,93708,19043,155108,1713,1134006,96.1,Europe
2024-02-12,Pune_01,Motor_Shaft,1072,53,2.3,90.7,52749,85876,7698,146323,1044,862344,88.6,India
2024-02-13,Pune_01,Gear_Assembly,875,13,1.6,93.8,56330,93153,12486,161969,850,651100,89.0,India
2024-02-14,Bengaluru_04,Gear_Assembly,1268,40,3.8,89.5,36062,83540,18174,137776,1245,1085640,88.6,Europe
2024-02-15,Gurgaon_03,EV_Differential,1034,15,0.9,73.6,58625,82337,9539,150501,1008,886032,88.9,India
2024-02-16,Bengaluru_04,Motor_Shaft,1192,54,3.6,73.7,57556,92812,20807,171175,1118,821730,96.9,Europe
2024-02-17,Gurgaon_03,EV_Differential,1100,8,1.7,87.7,36810,71588,12301,120699,1052,778480,90.7,Europe
2024-02-18,Gurgaon_03,Motor_Shaft,1250,49,0.5,81.7,58003,90031,20116,168150,1202,781300,95.5,Asia
2024-02-19,Pune_01,Gear_Assembly,1307,53,0.8,83.2,48428,81517,9105,139050,1254,1030788,98.7,India
2024-02-20,Gurgaon_03,EV_Differential,879,58,3.7,93.0,48843,76704,22761,148308,823,725886,90.4,Europe
2024-02-21,Gurgaon_03,EV_Differential,1172,58,2.5,92.5,59504,72114,20323,151941,1147,973803,92.3,India
2024-02-22,Bengaluru_04,Motor_Shaft,1147,40,2.1,78.8,35539,92355,11964,139858,1097,962069,98.8,Asia
2024-02-23,Gurgaon_03,EV_Differential,1000,37,1.9,85.1,52308,92532,8581,153421,956,748548,98.4,India
2024-02-24,Gurgaon_03,EV_Differential,1249,14,3.8,91.7,40124,66015,9193,115332,1191,786060,94.5,Europe
2024-02-25,Pune_01,Motor_Shaft,1626,31,2.5,71.6,45344,72266,15702,133312,1616,1289568,88.6,Asia
2024-02-26,Bengaluru_04,EV_Differential,1508,35,3.1,92.8,58574,88524,10636,157734,1462,1244162,97.3,India
2024-02-27,Pune_01,Motor_Shaft,1256,50,1.4,76.9,59323,86949,11544,157816,1215,829845,91.9,Europe
2024-02-28,Chennai_02,Motor_Shaft,1473,58,3.2,83.0,39363,75176,24461,139000,1459,1270789,97.6,India
2024-02-29,Pune_01,Axle_Component,1566,51,2.0,89.6,47173,69673,22781,139627,1493,1306375,91.9,Asia
2024-03-01,Chennai_02,Motor_Shaft,1134,31,0.8,88.2,55645,89032,16550,161227,1095,981120,93.8,India
2024-03-02,Pune_01,EV_Differential,1699,14,3.7,82.3,54963,87355,11164,153482,1656,1084680,93.4,India
2024-03-03,Chennai_02,Gear_Assembly,842,52,1.7,83.4,59214,72350,22183,153747,817,536769,90.0,India
2024-03-04,Gurgaon_03,Axle_Component,994,31,2.8,74.3,58161,76314,19891,154366,943,669530,88.3,Asia
2024-03-05,Pune_01,EV_Differential,1032,16,1.2,79.1,49124,81282,17488,147894,976,751520,95.6,Asia
2024-03-06,Gurgaon_03,Gear_Assembly,847,21,1.5,90.2,49178,82660,7302,139140,782,674866,90.6,Europe
2024-03-07,Chennai_02,Axle_Component,1185,49,0.7,73.7,40126,70122,24302,134550,1158,1041042,91.9,Europe
2024-03-08,Gurgaon_03,Axle_Component,1784,59,1.8,70.5,53360,82680,13229,149269,1731,1166694,97.8,India
2024-03-09,Bengaluru_04,Motor_Shaft,866,45,2.2,72.2,55590,91069,21369,168028,849,693633,92.7,Europe
2024-03-10,Chennai_02,EV_Differential,1412,10,3.6,85.2,45167,75554,24260,144981,1333,1170374,98.3,India
2024-03-11,Chennai_02,EV_Differential,1509,10,1.4,74.0,58370,84901,17589,160860,1476,1039104,97.3,Europe
2024-03-12,Gurgaon_03,Gear_Assembly,839,41,3.9,72.8,58873,73659,21043,153575,826,601328,97.0,India
2024-03-13,Chennai_02,Axle_Component,1797,55,3.4,88.0,45954,78703,22385,147042,1737,1427814,96.5,Asia
2024-03-14,Chennai_02,Motor_Shaft,1635,23,1.2,88.4,41283,94230,9048,144561,1612,1149356,89.0,Asia
2024-03-15,Gurgaon_03,Gear_Assembly,1667,17,2.4,71.3,47977,91615,7009,146601,1653,1322400,94.0,Asia
2024-03-16,Pune_01,Axle_Component,1441,24,1.4,87.0,54216,84208,21231,159655,1394,1249024,96.7,Europe
2024-03-17,Pune_01,EV_Differential,1117,48,1.9,93.3,38530,70256,15162,123948,1073,697450,96.2,Asia
